host,phage,time,N,OD600,sd,se,ci
AH17E146,Cocktail,12.4877777777778,6,0.11283333333333333,0.05355153281341877,0.02186232172279768,0.056198887105460914
AH17E146,Cocktail,12.7377777777778,6,0.11116666666666666,0.048519755426698785,0.01980810720667452,0.050918360583814284
AH17E146,Cocktail,12.9877777777778,6,0.11116666666666666,0.048519755426698785,0.01980810720667452,0.050918360583814284
AH17E146,Cocktail,13.2377777777778,6,0.1115,0.049334572056520365,0.020140754702840706,0.05177345819512898
AH17E146,Cocktail,13.4877777777778,6,0.11183333333333333,0.05014944333356719,0.02047342450864318,0.05262861315518948
AH17E146,Cocktail,13.7377777777778,6,0.1115,0.049334572056520365,0.020140754702840706,0.05177345819512898
AH17E146,Cocktail,13.9877777777778,6,0.11066666666666666,0.0472976391236039,0.019309180315188017,0.04963582817924859
AH17E146,Cocktail,14.2377777777778,6,0.10966666666666666,0.04531960576468718,0.018501651577929774,0.04756000947549822
AH17E146,Cocktail,14.4877777777778,6,0.109,0.04368981574692208,0.017836292589362104,0.045849649745308814
AH17E146,Cocktail,14.7377777777778,6,0.10816666666666666,0.041652931069333723,0.01700473790186462,0.043712070370289555
AH17E146,Cocktail,14.9877777777778,6,0.1075,0.03956134476986342,0.01615085137074823,0.041517085163707265
AH17E146,Cocktail,15.2377777777778,6,0.10616666666666666,0.03676637956974642,0.015009811605894477,0.03858394907043547
AH17E146,Cocktail,15.4877777777778,6,0.105,0.03391754708112012,0.013846780612594875,0.03559428272477746
AH17E146,Cocktail,15.7377777777778,6,0.104,0.03147697571241558,0.0128504215235662,0.033033060148749196
AH17E146,Cocktail,15.9877777777778,6,0.103,0.029037906260610463,0.011854675589544127,0.030473413737843343
AH17E146,Cocktail,16.2377777777778,6,0.10233333333333333,0.027412892344053495,0.011191266436129759,0.028768066218481502
AH17E146,Cocktail,16.4877777777778,6,0.10183333333333333,0.026194783195641586,0.010693975458692205,0.0274897390648547
AH17E146,Cocktail,16.7377777777778,6,0.10133333333333333,0.0249773230484507,0.010196949434893644,0.026212092996239576
AH17E146,Cocktail,16.9877777777778,6,0.10116666666666667,0.024571663896990503,0.010031339779798996,0.02578637982504728
AH17E146,Cocktail,17.2377777777778,6,0.10116666666666667,0.024571663896990503,0.010031339779798996,0.02578637982504728
AH17E146,Cocktail,17.4877777777778,6,0.10099999999999999,0.024166091947189144,0.009865765724632495,0.025360758166383626
AH17E146,Cocktail,17.7377777777778,6,0.10099999999999999,0.024166091947189144,0.009865765724632495,0.025360758166383626
AH17E146,Cocktail,17.9877777777778,6,0.10099999999999999,0.024166091947189144,0.009865765724632495,0.025360758166383626
AH17E146,Cocktail,18.2377777777778,6,0.10099999999999999,0.024166091947189144,0.009865765724632495,0.025360758166383626
AH17E146,Cocktail,18.4877777777778,6,0.10099999999999999,0.024166091947189144,0.009865765724632495,0.025360758166383626
AH17E146,Cocktail,18.7377777777778,6,0.10099999999999999,0.024166091947189144,0.009865765724632495,0.025360758166383626
AH17E146,Cocktail,18.9877777777778,6,0.10099999999999999,0.024166091947189144,0.009865765724632495,0.025360758166383626
AH17E146,Cocktail,19.2377777777778,6,0.10099999999999999,0.024166091947189144,0.009865765724632495,0.025360758166383626
AH17E146,Cocktail,19.4877777777778,6,0.10099999999999999,0.024166091947189144,0.009865765724632495,0.025360758166383626
AH17E146,Cocktail,19.7377777777778,6,0.10116666666666667,0.024571663896990503,0.010031339779798996,0.02578637982504728
AH17E146,Cocktail,19.9877777777778,6,0.10116666666666667,0.024571663896990503,0.010031339779798996,0.02578637982504728
AH17E146,Cocktail,20.2377777777778,6,0.10149999999999999,0.025383065220733293,0.010362592983097106,0.026637893292441744
AH17E146,Cocktail,20.4877777777778,6,0.10166666666666667,0.02578888649528449,0.010528268824666499,0.027063776601383784
AH17E146,Cocktail,20.7377777777778,6,0.10183333333333333,0.026194783195641586,0.010693975458692205,0.0274897390648547
AH17E146,Cocktail,20.9877777777778,6,0.10216666666666667,0.02700678926986077,0.011025475550338459,0.028341887178952332
AH17E146,Cocktail,21.2375,6,0.10233333333333333,0.027412892344053495,0.011191266436129759,0.028768066218481502
AH17E146,Cocktail,21.4877777777778,6,0.1025,0.027819058215547126,0.011357082958811798,0.02919431115973633
AH17E146,Cocktail,21.7377777777778,6,0.1025,0.027819058215547126,0.011357082958811798,0.02919431115973633
AH17E146,Cocktail,21.9877777777778,6,0.1025,0.027819058215547126,0.011357082958811798,0.02919431115973633
AH17E146,Cocktail,22.2377777777778,6,0.10266666666666667,0.02777528877737668,0.01133921416050415,0.02914837795138204
AH17E146,Cocktail,22.4877777777778,6,0.1025,0.027369691266070213,0.011173629669896887,0.028722729467563917
AH17E146,Cocktail,22.7377777777778,6,0.10233333333333333,0.026964173761987714,0.011008077842102035,0.02829716494617808
AH17E146,Cocktail,22.9877777777778,6,0.10216666666666667,0.02700678926986077,0.011025475550338459,0.028341887178952332
AH17E146,Cocktail,23.2377777777778,6,0.102,0.026600751869073177,0.010859711475602534,0.027915777059435102
AH17E146,Cocktail,23.4877777777778,6,0.10216666666666667,0.02700678926986077,0.011025475550338459,0.028341887178952332
AH17E146,Cocktail,23.7377777777778,6,0.10233333333333333,0.027412892344053495,0.011191266436129759,0.028768066218481502
AH17E146,Cocktail,23.9877777777778,6,0.1025,0.027819058215547126,0.011357082958811798,0.02919431115973633
AH17E146,Cocktail,NA,6,0.10283333333333333,0.028180962841369825,0.01150482990361488,0.029574106772317893
AH17E146,Negative,0.237777777777778,3,0.08933333333333333,0.001527525231651948,8.819171036881976e-4,0.0037945830335967628
AH17E146,Negative,0.487777777777778,3,0.08933333333333333,0.001527525231651948,8.819171036881976e-4,0.0037945830335967628
AH17E146,Negative,0.737777777777778,3,0.08933333333333333,0.001527525231651948,8.819171036881976e-4,0.0037945830335967628
AH17E146,Negative,0.987777777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,1.23777777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,1.48777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,1.73777777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,1.98777777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
