Phage,Host,Time,N,OD600,sd,se,ci
øEnA02,CPO093,15.9877777777778,4,1.283,0.03984135205202421,0.019920676026012104,0.06339648181773595
øEnA02,CPO093,16.2377777777778,4,1.2875,0.0401704700827195,0.02008523504135975,0.06392018204813019
øEnA02,CPO093,16.4877777777778,4,1.293,0.039251326941476365,0.019625663470738183,0.06245762020119216
øEnA02,CPO093,16.7377777777778,4,1.29675,0.039050181390957325,0.019525090695478663,0.06213755274415537
øEnA02,CPO093,16.9877777777778,4,1.30175,0.03956745295483826,0.01978372647741913,0.06296064723280598
øEnA02,CPO093,17.2377777777778,4,1.30525,0.0381608438061844,0.0190804219030922,0.0607224181887501
øEnA02,CPO093,17.4877777777778,4,1.3094999999999999,0.038974350539810194,0.019487175269905097,0.062016888938125514
øEnA02,CPO093,17.7377777777778,4,1.3135,0.03931496746363493,0.019657483731817464,0.06255888647349708
øEnA02,CPO093,17.9877777777778,4,1.3167499999999999,0.03910988792279179,0.019554943961395895,0.06223255915997432
øEnA02,CPO093,18.2377777777778,4,1.3205,0.037429934544425836,0.018714967272212918,0.05955937844895951
øEnA02,CPO093,18.4877777777778,4,1.32325,0.03790668366748357,0.018953341833741786,0.060317992691570683
øEnA02,CPO093,18.7377777777778,4,1.32625,0.03790668366748357,0.018953341833741786,0.060317992691570683
øEnA02,CPO093,18.9877777777778,4,1.3295,0.0378285606387555,0.01891428031937775,0.060193681519504064
øEnA02,CPO093,19.2377777777778,4,1.33125,0.03663673020344472,0.01831836510172236,0.058297213336814334
øEnA02,CPO093,19.4877777777778,4,1.3345,0.0380394532032205,0.01901972660161025,0.060529258650800784
øEnA02,CPO093,19.7377777777778,4,1.33725,0.03795062581829184,0.01897531290914592,0.06038791445931368
øEnA02,CPO093,19.9877777777778,4,1.3385,0.03679220932027136,0.01839610466013568,0.05854461530726119
øEnA02,CPO093,20.2377777777778,4,1.3415,0.03759875884476327,0.018799379422381635,0.059828015584385
øEnA02,CPO093,20.4877777777778,4,1.344,0.037920970451717086,0.018960485225858543,0.060340726153419844
øEnA02,CPO093,20.7377777777778,4,1.34725,0.037562170686299086,0.018781085343149543,0.05976979565952426
