phage,combination,time,N,OD600,sd,se,ci
APO57,APO57,17.9877777777778,2,1.6364999999999998,0.01484924240491759,0.010500000000000063,0.13341514972983506
APO57,APO57,18.2377777777778,2,1.6375,0.014849242404917433,0.010499999999999954,0.13341514972983368
APO57,APO57,18.4877777777778,2,1.6389999999999998,0.01555634918610406,0.01100000000000001,0.13976825209792174
APO57,APO57,18.7377777777778,2,1.6415,0.014849242404917433,0.010499999999999954,0.13341514972983368
APO57,APO57,18.9877777777778,2,1.6429999999999998,0.01555634918610406,0.01100000000000001,0.13976825209792174
APO57,APO57,19.2377777777778,2,1.645,0.01555634918610406,0.01100000000000001,0.13976825209792174
APO57,APO57,19.4877777777778,2,1.6469999999999998,0.01555634918610406,0.01100000000000001,0.13976825209792174
APO57,APO57,19.7377777777778,2,1.649,0.016970562748477157,0.01200000000000001,0.15247445683409644
APO57,APO57,19.9877777777778,2,1.6515,0.016263455967290685,0.011500000000000064,0.14612135446600977
APO57,APO57,20.2377777777778,2,1.6535,0.016263455967290685,0.011500000000000064,0.14612135446600977
APO57,APO57,20.4877777777778,2,1.6555,0.016263455967290685,0.011500000000000064,0.14612135446600977
APO57,APO57,20.7377777777778,2,1.658,0.016970562748477157,0.01200000000000001,0.15247445683409644
APO57,APO57,20.9877777777778,2,1.661,0.016970562748477157,0.01200000000000001,0.15247445683409644
APO57,APO57,21.2377777777778,2,1.6625,0.01767766952966378,0.012500000000000065,0.15882755920218447
APO57,APO57,21.4877777777778,2,1.665,0.016970562748477157,0.01200000000000001,0.15247445683409644
APO57,APO57,21.7377777777778,2,1.666,0.016970562748477157,0.01200000000000001,0.15247445683409644
APO57,APO57,21.9877777777778,2,1.6684999999999999,0.01626345596729053,0.011499999999999953,0.14612135446600835
APO57,APO57,22.2377777777778,2,1.671,0.016970562748477157,0.01200000000000001,0.15247445683409644
APO57,APO57,22.4877777777778,2,1.672,0.016970562748477157,0.01200000000000001,0.15247445683409644
APO57,APO57,22.7377777777778,2,1.6745,0.01626345596729053,0.011499999999999953,0.14612135446600835
APO57,APO57,22.9877777777778,2,1.6764999999999999,0.01626345596729053,0.011499999999999953,0.14612135446600835
APO57,APO57,23.2377777777778,2,1.678,0.016970562748477157,0.01200000000000001,0.15247445683409644
APO57,APO57,23.4877777777778,2,1.6804999999999999,0.01626345596729053,0.011499999999999953,0.14612135446600835
APO57,APO57,23.7377777777778,2,1.6825,0.01626345596729053,0.011499999999999953,0.14612135446600835
APO57,APO57,23.9877777777778,2,1.6840000000000002,0.01555634918610406,0.01100000000000001,0.13976825209792174
APO57,APO57,NA,2,1.686,0.01555634918610406,0.01100000000000001,0.13976825209792174
APO57,EnC07_R2,0.237777777777778,6,0.11216666666666666,0.020536958554437088,0.00838417822117615,0.02155221624209299
APO57,EnC07_R2,0.487777777777778,6,0.11666666666666667,0.02180519815701446,0.00890193487082693,0.0228831520809652
APO57,EnC07_R2,0.737777777777778,6,0.12583333333333332,0.022364406244447153,0.009130230616534894,0.023470004978035138
APO57,EnC07_R2,0.987777777777778,6,0.14033333333333334,0.02463060426921489,0.010055402085998906,0.025848233952288285
APO57,EnC07_R2,1.23777777777778,6,0.1625,0.027325811973297337,0.011155716023635598,0.028676680973874633
APO57,EnC07_R2,1.48777777777778,6,0.19716666666666666,0.03188991481121684,0.013019003204717501,0.03346641315613776
APO57,EnC07_R2,1.73777777777778,6,0.24883333333333335,0.03983675020212702,0.016263285167654306,0.04180610543974564
APO57,EnC07_R2,1.98777777777778,6,0.33216666666666667,0.04099959349391976,0.016738013953606065,0.04302643463376691
APO57,EnC07_R2,2.23777777777778,6,0.4735,0.044742597153048694,0.018266088798645434,0.04695447607391789
APO57,EnC07_R2,2.48777777777778,6,0.6131666666666666,0.03894312091585197,0.015898462539224074,0.04086829901787379
APO57,EnC07_R2,2.73777777777778,6,0.7223333333333333,0.031155523854794455,0.012719189352225942,0.03269571711285082
APO57,EnC07_R2,2.98777777777778,6,0.8075,0.025485289874749288,0.010404326023342396,0.026745171487642164
APO57,EnC07_R2,3.23777777777778,6,0.878,0.02263625410707348,0.009241212041718348,0.023755291813704758
APO57,EnC07_R2,3.48777777777778,6,0.9346666666666666,0.021379117537135745,0.0087279881861616615,0.022436007892995505
APO57,EnC07_R2,3.73777777777778,6,0.986,0.020746083967823896,0.008469553313683863,0.02177167990410909
