combination,host,time,N,OD600,sd,se,ci
Positive,APO57,14.7377777777778,2,0.427,0.0028284271247461927,0.0020000000000000018,0.025412409472349407
Positive,APO57,14.9877777777778,2,0.4295,7.071067811865482e-4,5.000000000000004e-4,0.006353102368087352
Positive,APO57,15.2377777777778,2,0.4305,7.071067811865482e-4,5.000000000000004e-4,0.006353102368087352
Positive,APO57,15.4877777777778,2,0.4315,7.071067811865482e-4,5.000000000000004e-4,0.006353102368087352
Positive,APO57,15.7377777777778,2,0.4325,7.071067811865482e-4,5.000000000000004e-4,0.006353102368087352
Positive,APO57,15.9877777777778,2,0.432,0.0014142135623730963,0.0010000000000000009,0.012706204736174703
Positive,APO57,16.2377777777778,2,0.4305,7.071067811865482e-4,5.000000000000004e-4,0.006353102368087352
Positive,APO57,16.4877777777778,2,0.429,0.0014142135623730963,0.0010000000000000009,0.012706204736174703
Positive,APO57,16.7377777777778,2,0.426,0.0028284271247461927,0.0020000000000000018,0.025412409472349407
Positive,APO57,16.9877777777778,2,0.4225,0.0021213203435596446,0.0015000000000000013,0.019059307104262055
Positive,APO57,17.2377777777778,2,0.4195,0.0021213203435596446,0.0015000000000000013,0.019059307104262055
Positive,APO57,17.4877777777778,2,0.4165,0.0021213203435596446,0.0015000000000000013,0.019059307104262055
Positive,APO57,17.7377777777778,2,0.4145,7.071067811865482e-4,5.000000000000004e-4,0.006353102368087352
Positive,APO57,17.9877777777778,2,0.413,0.0014142135623730963,0.0010000000000000009,0.012706204736174703
Positive,APO57,18.2377777777778,2,0.414,0.0028284271247461927,0.0020000000000000018,0.025412409472349407
Positive,APO57,18.4877777777778,2,0.4165,7.071067811865482e-4,5.000000000000004e-4,0.006353102368087352
Positive,APO57,18.7377777777778,2,0.418,0.0014142135623730963,0.0010000000000000009,0.012706204736174703
Positive,APO57,18.9877777777778,2,0.4195,7.071067811865482e-4,5.000000000000004e-4,0.006353102368087352
Positive,APO57,19.2377777777778,2,0.4215,0.0021213203435596446,0.0015000000000000013,0.019059307104262055
Positive,APO57,19.4877777777778,2,0.425,0.0028284271247461927,0.0020000000000000018,0.025412409472349407
Positive,APO57,19.7377777777778,2,0.429,0.0028284271247461927,0.0020000000000000018,0.025412409472349407
Positive,APO57,19.9877777777778,2,0.4325,0.0021213203435596446,0.0015000000000000013,0.019059307104262055
Positive,APO57,20.2377777777778,2,0.436,0.0028284271247461927,0.0020000000000000018,0.025412409472349407
Positive,APO57,20.4877777777778,2,0.4405,0.0035355339059327407,0.0025000000000000022,0.03176551184043676
Positive,APO57,20.7377777777778,2,0.4445,0.0021213203435596446,0.0015000000000000013,0.019059307104262055
Positive,APO57,20.9877777777778,2,0.448,0.0028284271247461927,0.0020000000000000018,0.025412409472349407
Positive,APO57,21.2377777777778,2,0.4525,0.0035355339059327407,0.0025000000000000022,0.03176551184043676
Positive,APO57,21.4877777777778,2,0.4565,0.0021213203435596446,0.0015000000000000013,0.019059307104262055
Positive,APO57,21.7377777777778,2,0.4625,0.006363961030678933,0.004500000000000003,0.05717792131278616
Positive,APO57,21.9877777777778,2,0.46950000000000003,0.0035355339059327017,0.0024999999999999745,0.031765511840436404
Positive,APO57,22.2377777777778,2,0.4755,0.004949747468305837,0.0035000000000000027,0.044471716576611454
Positive,APO57,22.4877777777778,2,0.4825,0.004949747468305837,0.0035000000000000027,0.044471716576611454
Positive,APO57,22.7377777777778,2,0.489,0.004242640687119289,0.0030000000000000027,0.03811861420852411
Positive,APO57,22.9877777777778,2,0.4955,0.004949747468305837,0.0035000000000000027,0.044471716576611454
Positive,APO57,23.2377777777778,2,0.501,0.0028284271247461927,0.0020000000000000018,0.025412409472349407
Positive,APO57,23.4877777777778,2,0.507,0.005656854249492385,0.0040000000000000036,0.05082481894469881
Positive,APO57,23.7377777777778,2,0.517,0.008485281374238578,0.006000000000000005,0.07623722841704822
Positive,APO57,23.9877777777778,2,0.5285,0.00777817459305203,0.005500000000000005,0.06988412604896087
Positive,CPO093,0.237777777777778,2,0.9410000000000001,0.9927779207859128,0.702,8.919755724794634
Positive,CPO093,0.487777777777778,2,0.9755,0.9468159800087871,0.6694999999999999,8.506804070868954
Positive,CPO093,0.737777777777778,2,1.0465,0.8492352442050436,0.6004999999999999,7.630075944072901
Positive,CPO093,0.987777777777778,2,1.3155000000000001,0.4716402230514272,0.3335,4.23751927951426
Positive,CPO093,1.23777777777778,2,1.0245,0.060104076400856514,0.04249999999999998,0.5400137012874242
Positive,CPO093,1.48777777777778,2,1.0905,0.033234018715767845,0.023500000000000076,0.29859581130010626
Positive,CPO093,1.73777777777778,2,1.127,0.018384776310850094,0.012999999999999899,0.16518066157026973
Positive,CPO093,1.98777777777778,2,1.1509999999999998,0.01555634918610406,0.01100000000000001,0.13976825209792174
Positive,CPO093,2.23777777777778,2,1.1715,0.013435028842544494,0.009500000000000064,0.12070894499366039
Positive,CPO093,2.48777777777778,2,1.1895,0.01202081528017124,0.00849999999999995,0.10800274025748426
Positive,CPO093,2.73777777777778,2,1.206,0.01131370849898477,0.008000000000000007,0.10164963788939763
Positive,CPO093,2.98777777777778,2,1.221,0.009899494936611674,0.007000000000000005,0.08894343315322291
Positive,CPO093,3.23777777777778,2,1.2345000000000002,0.009192388155425205,0.006500000000000061,0.08259033078513628
Positive,CPO093,3.48777777777778,2,1.2465000000000002,0.007778174593051951,0.0054999999999999485,0.06988412604896016
Positive,CPO093,3.73777777777778,2,1.259,0.009899494936611674,0.007000000000000005,0.08894343315322291
Positive,CPO093,3.98777777777778,2,1.272,0.008485281374238578,0.006000000000000005,0.07623722841704822
Positive,CPO093,4.23777777777778,2,1.2845,0.009192388155425047,0.006499999999999949,0.08259033078513486
Positive,CPO093,4.48777777777778,2,1.2974999999999999,0.009192388155425205,0.006500000000000061,0.08259033078513628
Positive,CPO093,4.73777777777778,2,1.3094999999999999,0.007778174593051951,0.0054999999999999485,0.06988412604896016
Positive,CPO093,4.98777777777778,2,1.322,0.009899494936611674,0.007000000000000005,0.08894343315322291
Positive,CPO093,5.23777777777778,2,1.3355000000000001,0.009192388155425205,0.006500000000000061,0.08259033078513628
Positive,CPO093,5.48777777777778,2,1.347,0.007071067811865481,0.0050000000000000044,0.06353102368087352
Positive,CPO093,5.73777777777778,2,1.3585,0.009192388155425047,0.006499999999999949,0.08259033078513486
Positive,CPO093,5.98777777777778,2,1.371,0.008485281374238578,0.006000000000000005,0.07623722841704822
Positive,CPO093,6.23777777777778,2,1.383,0.008485281374238578,0.006000000000000005,0.07623722841704822
Positive,CPO093,6.48777777777778,2,1.3940000000000001,0.007071067811865481,0.0050000000000000044,0.06353102368087352
Positive,CPO093,6.73777777777778,2,1.4055,0.009192388155425047,0.006499999999999949,0.08259033078513486
Positive,CPO093,6.98777777777778,2,1.4169999999999998,0.007071067811865481,0.0050000000000000044,0.06353102368087352
Positive,CPO093,7.23777777777778,2,1.4264999999999999,0.006363961030679012,0.0045000000000000595,0.05717792131278687
Positive,CPO093,7.48777777777778,2,1.4365,0.007778174593051951,0.0054999999999999485,0.06988412604896016
Positive,CPO093,7.73777777777778,2,1.4465,0.006363961030679012,0.0045000000000000595,0.05717792131278687
Positive,CPO093,7.98777777777778,2,1.4565000000000001,0.007778174593051951,0.0054999999999999485,0.06988412604896016
Positive,CPO093,8.23777777777778,2,1.467,0.007071067811865481,0.0050000000000000044,0.06353102368087352
